14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,14.0
14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,11.665956,-12.165925,8.499481,14.0
14-02-16_12:18:46,el X,el Y,el Z,o X,o Y,o Z,11.665956,-12.165925,8.499481,26.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,22.440699,14.462095,11.262892,54.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,22.440699,14.462095,11.262892,64.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,23.701303,17.774136,11.848998,64.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,1.2372692,0.13572986,0.7115151,23.701303,17.774136,11.848998,62.0
14-02-16_12:18:48,5.9878983,3.8151605,19.056648,-0.50449085,0.49805745,-0.001066596,23.701303,17.774136,11.848998,62.0
14-02-16_12:18:48,3.4284968,0.053869538,10.33098,-0.50449085,0.49805745,-0.001066596,23.701303,17.774136,11.848998,62.0
14-02-16_12:18:48,3.4284968,0.053869538,10.33098,-0.50449085,0.49805745,-0.001066596,23.701303,17.774136,11.848998,54.0
14-02-16_12:18:48,3.4284968,0.053869538,10.33098,-0.50449085,0.49805745,-0.001066596,24.411686,19.507654,12.051443,54.0
14-02-16_12:18:48,3.4284968,0.053869538,10.33098,-0.50449085,0.49805745,-0.001066596,24.411686,19.507654,12.051443,60.0
14-02-16_12:18:48,3.4284968,0.053869538,10.33098,-1.1990433,-0.4106131,-0.11611515,24.411686,19.507654,12.051443,60.0
14-02-16_12:18:48,-1.8136078,0.78529817,4.0258503,-1.1990433,-0.4106131,-0.11611515,24.411686,19.507654,12.051443,60.0
14-02-16_12:18:48,-1.8136078,0.78529817,4.0258503,-1.1990433,-0.4106131,-0.11611515,24.411686,19.507654,12.051443,66.0
14-02-16_12:18:48,-1.8136078,0.78529817,4.0258503,-1.1990433,-0.4106131,-0.11611515,25.51045,20.267838,12.212032,66.0
14-02-16_12:18:48,-1.8136078,0.78529817,4.0258503,-1.1990433,-0.4106131,-0.11611515,25.51045,20.267838,12.212032,64.0
14-02-16_12:18:48,-1.8136078,0.78529817,4.0258503,0.6736916,-0.10594747,0.2503358,25.51045,20.267838,12.212032,64.0
14-02-16_12:18:48,-1.283292,1.0534488,8.000225,0.6736916,-0.10594747,0.2503358,25.51045,20.267838,12.212032,64.0
14-02-16_12:18:48,-1.283292,1.0534488,8.000225,0.6736916,-0.10594747,0.2503358,25.51045,20.267838,12.212032,62.0
14-02-16_12:18:48,-1.283292,1.0534488,8.000225,0.6736916,-0.10594747,0.2503358,26.535954,21.410664,12.840452,62.0
14-02-16_12:18:48,-1.283292,1.0534488,8.000225,0.6736916,-0.10594747,0.2503358,26.535954,21.410664,12.840452,68.0
14-02-16_12:18:48,-1.283292,1.0534488,8.000225,0.53836733,1.4835211,0.16090846,26.535954,21.410664,12.840452,68.0
14-02-16_12:18:48,1.520318,-1.0630256,19.47324,0.53836733,1.4835211,0.16090846,26.535954,21.410664,12.840452,68.0
14-02-16_12:18:48,1.520318,-1.0630256,19.47324,0.53836733,1.4835211,0.16090846,26.535954,21.410664,12.840452,66.0
14-02-16_12:18:48,1.520318,-1.0630256,19.47324,0.53836733,1.4835211,0.16090846,27.273968,22.345047,13.4276905,66.0
14-02-16_12:18:48,1.520318,-1.0630256,19.47324,0.53836733,1.4835211,0.16090846,27.273968,22.345047,13.4276905,64.0
14-02-16_12:18:49,1.520318,-1.0630256,19.47324,-1.8062797,-1.0390251,0.5017931,27.273968,22.345047,13.4276905,64.0
14-02-16_12:18:49,-0.1364695,1.7932571,2.6479871,-1.8062797,-1.0390251,0.5017931,27.273968,22.345047,13.4276905,64.0
14-02-16_12:18:49,-0.1364695,1.7932571,2.6479871,-1.8062797,-1.0390251,0.5017931,27.273968,22.345047,13.4276905,68.0
14-02-16_12:18:49,-0.1364695,1.7932571,2.6479871,-1.8062797,-1.0390251,0.5017931,28.833796,22.730978,13.928499,68.0
14-02-16_12:18:49,-0.1364695,1.7932571,2.6479871,-1.8062797,-1.0390251,0.5017931,28.833796,22.730978,13.928499,74.0
14-02-16_12:18:49,-0.1364695,1.7932571,2.6479871,0.9026878,-3.9228363E-4,0.53907734,28.833796,22.730978,13.928499,74.0
14-02-16_12:18:49,0.6655881,-0.1328782,4.2940006,0.9026878,-3.9228363E-4,0.53907734,28.833796,22.730978,13.928499,74.0
14-02-16_12:18:49,0.6655881,-0.1328782,4.2940006,0.9026878,-3.9228363E-4,0.53907734,28.833796,22.730978,13.928499,78.0
14-02-16_12:18:49,0.6655881,-0.1328782,4.2940006,0.9026878,-3.9228363E-4,0.53907734,31.343351,23.55387,14.874484,78.0
14-02-16_12:18:49,0.6655881,-0.1328782,4.2940006,0.9026878,-3.9228363E-4,0.53907734,31.343351,23.55387,14.874484,74.0
14-02-16_12:18:49,0.6655881,-0.1328782,4.2940006,1.0677822,0.13495275,-0.6742261,31.343351,23.55387,14.874484,74.0
14-02-16_12:18:49,-7.66384,-0.5434838,21.059399,1.0677822,0.13495275,-0.6742261,31.343351,23.55387,14.874484,74.0
14-02-16_12:18:49,-7.66384,-0.5434838,21.059399,1.0677822,0.13495275,-0.6742261,31.343351,23.55387,14.874484,64.0
14-02-16_12:18:49,-7.66384,-0.5434838,21.059399,1.0677822,0.13495275,-0.6742261,34.238586,23.96892,15.532396,64.0
14-02-16_12:18:49,-7.66384,-0.5434838,21.059399,-0.62918407,-1.136973,0.3441667,34.238586,23.96892,15.532396,64.0
14-02-16_12:18:49,-0.7457938,1.2880806,0.4189853,-0.62918407,-1.136973,0.3441667,34.238586,23.96892,15.532396,64.0
14-02-16_12:18:49,-0.7457938,1.2880806,0.4189853,-0.62918407,-1.136973,0.3441667,36.78612,22.935835,15.171937,64.0
14-02-16_12:18:49,-0.7457938,1.2880806,0.4189853,-0.62918407,-1.136973,0.3441667,36.78612,22.935835,15.171937,74.0
14-02-16_12:18:49,-0.7457938,1.2880806,0.4189853,-0.18177299,-0.12177597,-0.23533715,36.78612,22.935835,15.171937,74.0
14-02-16_12:18:49,-0.30645782,1.1815386,3.9360676,-0.18177299,-0.12177597,-0.23533715,36.78612,22.935835,15.171937,74.0
14-02-16_12:18:49,-0.30645782,1.1815386,3.9360676,-0.18177299,-0.12177597,-0.23533715,36.78612,22.935835,15.171937,78.0
14-02-16_12:18:49,-0.30645782,1.1815386,3.9360676,-0.18177299,-0.12177597,-0.23533715,37.78076,21.68782,14.330483,78.0
14-02-16_12:18:49,-0.30645782,1.1815386,3.9360676,-0.18177299,-0.12177597,-0.23533715,37.78076,21.68782,14.330483,76.0
14-02-16_12:18:50,-0.30645782,1.1815386,3.9360676,0.6821373,1.1864188,-1.0363867,37.78076,21.68782,14.330483,76.0
14-02-16_12:18:50,-3.7912183,-2.6048915,21.059399,0.6821373,1.1864188,-1.0363867,37.78076,21.68782,14.330483,76.0
14-02-16_12:18:50,-3.7912183,-2.6048915,21.059399,0.6821373,1.1864188,-1.0363867,37.78076,21.68782,14.330483,68.0
14-02-16_12:18:50,-3.7912183,-2.6048915,21.059399,0.6821373,1.1864188,-1.0363867,37.119293,21.169806,13.623836,68.0
14-02-16_12:18:50,-3.7912183,-2.6048915,21.059399,0.6821373,1.1864188,-1.0363867,37.119293,21.169806,13.623836,66.0
