14-02-16_12:17:32,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,30.0
14-02-16_12:17:33,5.2181625,-2.2469583,14.463372,-0.12605195,0.10852727,0.3766903,18.414885,6.470566,12.371454,54.0
14-02-16_12:17:33,5.2181625,-2.2469583,14.463372,-0.12605195,0.10852727,0.3766903,17.69841,7.325878,13.05488,54.0
14-02-16_12:17:33,5.2181625,-2.2469583,14.463372,-0.12605195,0.10852727,0.3766903,17.69841,7.325878,13.05488,60.0
14-02-16_12:17:34,5.2181625,-2.2469583,14.463372,-0.17724909,0.77235615,-0.3028499,17.69841,7.325878,13.05488,60.0
14-02-16_12:17:34,3.8175547,-2.5785553,11.711238,-0.17724909,0.77235615,-0.3028499,17.69841,7.325878,13.05488,60.0
14-02-16_12:17:34,3.8175547,-2.5785553,11.711238,-0.17724909,0.77235615,-0.3028499,17.69841,7.325878,13.05488,64.0
14-02-16_12:17:34,3.8175547,-2.5785553,11.711238,-0.17724909,0.77235615,-0.3028499,17.003323,8.948187,13.89812,64.0
14-02-16_12:17:34,3.8175547,-2.5785553,11.711238,-0.17724909,0.77235615,-0.3028499,17.003323,8.948187,13.89812,62.0
14-02-16_12:17:34,3.8175547,-2.5785553,11.711238,0.5695013,-0.18425134,-1.3159163,17.003323,8.948187,13.89812,62.0
14-02-16_12:17:34,-1.3946224,2.2158337,6.364985,0.5695013,-0.18425134,-1.3159163,17.003323,8.948187,13.89812,62.0
14-02-16_12:17:34,-1.3946224,2.2158337,6.364985,0.5695013,-0.18425134,-1.3159163,17.003323,8.948187,13.89812,58.0
14-02-16_12:17:34,-1.3946224,2.2158337,6.364985,0.5695013,-0.18425134,-1.3159163,17.033396,10.541423,14.461057,58.0
14-02-16_12:17:34,-1.3946224,2.2158337,6.364985,0.5695013,-0.18425134,-1.3159163,17.033396,10.541423,14.461057,56.0
14-02-16_12:17:34,-1.3946224,2.2158337,6.364985,0.65152663,-0.4218053,0.17119278,17.033396,10.541423,14.461057,56.0
14-02-16_12:17:34,4.382586,-2.9843724,8.796297,0.65152663,-0.4218053,0.17119278,17.033396,10.541423,14.461057,56.0
14-02-16_12:17:34,4.382586,-2.9843724,8.796297,0.65152663,-0.4218053,0.17119278,17.033396,10.541423,14.461057,54.0
14-02-16_12:17:34,4.382586,-2.9843724,8.796297,0.65152663,-0.4218053,0.17119278,17.172907,11.409483,14.572489,54.0
14-02-16_12:17:34,4.382586,-2.9843724,8.796297,0.65152663,-0.4218053,0.17119278,17.172907,11.409483,14.572489,46.0
14-02-16_12:17:34,4.382586,-2.9843724,8.796297,-0.07182146,0.5061279,-0.31771246,17.172907,11.409483,14.572489,46.0
14-02-16_12:17:34,1.9488802,-1.021127,10.820595,-0.07182146,0.5061279,-0.31771246,17.172907,11.409483,14.572489,46.0
14-02-16_12:17:34,1.9488802,-1.021127,10.820595,-0.07182146,0.5061279,-0.31771246,17.172907,11.409483,14.572489,34.0
14-02-16_12:17:34,1.9488802,-1.021127,10.820595,-0.07182146,0.5061279,-0.31771246,16.289595,11.338726,14.330759,34.0
14-02-16_12:17:34,1.9488802,-1.021127,10.820595,-0.38287866,-0.40999952,-0.6351613,16.289595,11.338726,14.330759,34.0
14-02-16_12:17:34,-1.6723499,3.8630445,6.92044,-0.38287866,-0.40999952,-0.6351613,16.289595,11.338726,14.330759,34.0
14-02-16_12:17:34,-1.6723499,3.8630445,6.92044,-0.38287866,-0.40999952,-0.6351613,16.289595,11.338726,14.330759,68.0
14-02-16_12:17:34,-1.6723499,3.8630445,6.92044,-0.38287866,-0.40999952,-0.6351613,14.474063,10.05006,13.687785,68.0
14-02-16_12:17:34,-1.6723499,3.8630445,6.92044,-0.38287866,-0.40999952,-0.6351613,14.474063,10.05006,13.687785,130.0
