14-02-16_12:16:10,el X,el Y,el Z,o X,o Y,o Z,net X,net Y,net Z,20.0
14-02-16_12:16:12,-1.3634979,2.183512,10.1226845,-0.02032045,0.06414276,0.4817392,17.225912,7.9715214,11.985248,18.0
14-02-16_12:16:12,-1.3634979,2.183512,10.1226845,-0.02032045,0.06414276,0.4817392,17.225912,7.9715214,11.985248,12.0
14-02-16_12:16:12,-1.3634979,2.183512,10.1226845,-0.02032045,0.06414276,0.4817392,18.002531,8.715037,12.150301,12.0
14-02-16_12:16:12,-1.3634979,2.183512,10.1226845,-0.02032045,0.06414276,0.4817392,18.002531,8.715037,12.150301,6.0
14-02-16_12:16:12,-1.3634979,2.183512,10.1226845,-0.029962959,-0.033717483,0.44986516,18.002531,8.715037,12.150301,6.0
14-02-16_12:16:12,-0.6835446,2.3678656,11.130644,-0.029962959,-0.033717483,0.44986516,18.002531,8.715037,12.150301,6.0
14-02-16_12:16:12,-0.6835446,2.3678656,11.130644,-0.029962959,-0.033717483,0.44986516,19.098528,9.514085,12.265213,6.0
14-02-16_12:16:12,-0.6835446,2.3678656,11.130644,-0.029962959,-0.033717483,0.44986516,19.098528,9.514085,12.265213,10.0
14-02-16_12:16:12,-0.6835446,2.3678656,11.130644,0.20865627,-0.11893864,3.2357406E-4,19.098528,9.514085,12.265213,10.0
14-02-16_12:16:12,-0.320823,0.89423436,11.699266,0.20865627,-0.11893864,3.2357406E-4,19.098528,9.514085,12.265213,10.0
14-02-16_12:16:12,-0.320823,0.89423436,11.699266,0.20865627,-0.11893864,3.2357406E-4,19.098528,9.514085,12.265213,18.0
14-02-16_12:16:13,-0.320823,0.89423436,11.699266,0.20865627,-0.11893864,3.2357406E-4,20.418766,10.329936,12.391165,18.0
14-02-16_12:16:13,-0.320823,0.89423436,11.699266,0.20865627,-0.11893864,3.2357406E-4,20.418766,10.329936,12.391165,20.0
14-02-16_12:16:13,-0.320823,0.89423436,11.699266,0.14154461,0.004632036,-0.1743798,20.418766,10.329936,12.391165,20.0
14-02-16_12:16:13,-0.9840169,1.283292,9.7863,0.14154461,0.004632036,-0.1743798,20.418766,10.329936,12.391165,20.0
14-02-16_12:16:13,-0.9840169,1.283292,9.7863,0.14154461,0.004632036,-0.1743798,21.46928,10.744871,12.480961,20.0
14-02-16_12:16:13,-0.9840169,1.283292,9.7863,-0.03959348,0.10701034,0.09945895,21.46928,10.744871,12.480961,20.0
14-02-16_12:16:13,-0.93732995,3.289633,10.445902,-0.03959348,0.10701034,0.09945895,21.46928,10.744871,12.480961,20.0
14-02-16_12:16:13,-0.93732995,3.289633,10.445902,-0.03959348,0.10701034,0.09945895,21.46928,10.744871,12.480961,22.0
14-02-16_12:16:13,-0.93732995,3.289633,10.445902,-0.03959348,0.10701034,0.09945895,21.919085,10.589271,12.502721,22.0
14-02-16_12:16:13,-0.93732995,3.289633,10.445902,-0.03959348,0.10701034,0.09945895,21.919085,10.589271,12.502721,26.0
14-02-16_12:16:13,-0.93732995,3.289633,10.445902,-0.18553472,0.29236636,0.35299188,21.919085,10.589271,12.502721,26.0
14-02-16_12:16:13,-1.174356,1.0235212,13.1477585,-0.18553472,0.29236636,0.35299188,21.919085,10.589271,12.502721,26.0
14-02-16_12:16:13,-1.174356,1.0235212,13.1477585,-0.18553472,0.29236636,0.35299188,21.919085,10.589271,12.502721,30.0
14-02-16_12:16:13,-1.174356,1.0235212,13.1477585,-0.18553472,0.29236636,0.35299188,22.067183,10.167246,12.504176,30.0
14-02-16_12:16:13,-1.174356,1.0235212,13.1477585,-0.18553472,0.29236636,0.35299188,22.067183,10.167246,12.504176,32.0
14-02-16_12:16:13,-1.174356,1.0235212,13.1477585,0.12445724,-0.019756127,0.3881456,22.067183,10.167246,12.504176,32.0
14-02-16_12:16:13,-0.7074866,1.9812019,7.563283,0.12445724,-0.019756127,0.3881456,22.067183,10.167246,12.504176,32.0
14-02-16_12:16:13,-0.7074866,1.9812019,7.563283,0.12445724,-0.019756127,0.3881456,22.067183,10.167246,12.504176,34.0
14-02-16_12:16:13,-0.7074866,1.9812019,7.563283,0.12445724,-0.019756127,0.3881456,22.495499,9.660281,12.470902,34.0
14-02-16_12:16:13,-0.7074866,1.9812019,7.563283,-0.0769041,-0.032470327,0.09204231,22.495499,9.660281,12.470902,34.0
14-02-16_12:16:13,-0.6967127,2.7126305,11.399991,-0.0769041,-0.032470327,0.09204231,22.495499,9.660281,12.470902,34.0
14-02-16_12:16:13,-0.6967127,2.7126305,11.399991,-0.0769041,-0.032470327,0.09204231,22.495499,9.660281,12.470902,36.0
14-02-16_12:16:14,-0.6967127,2.7126305,11.399991,-0.0769041,-0.032470327,0.09204231,23.377,9.138881,12.361647,36.0
14-02-16_12:16:14,-0.6967127,2.7126305,11.399991,-0.0769041,-0.032470327,0.09204231,23.377,9.138881,12.361647,34.0
14-02-16_12:16:14,-0.6967127,2.7126305,11.399991,-0.00659665,0.02398869,-0.5545732,23.377,9.138881,12.361647,34.0
14-02-16_12:16:14,-0.29927522,1.6448165,10.588357,-0.00659665,0.02398869,-0.5545732,23.377,9.138881,12.361647,34.0
14-02-16_12:16:14,-0.29927522,1.6448165,10.588357,-0.00659665,0.02398869,-0.5545732,23.377,9.138881,12.361647,40.0
14-02-16_12:16:14,-0.29927522,1.6448165,10.588357,-0.00659665,0.02398869,-0.5545732,24.358175,8.614828,12.171747,40.0
14-02-16_12:16:14,-0.29927522,1.6448165,10.588357,-0.00659665,0.02398869,-0.5545732,24.358175,8.614828,12.171747,48.0
14-02-16_12:16:14,-0.29927522,1.6448165,10.588357,0.2650458,0.07086033,-0.77721345,24.358175,8.614828,12.171747,48.0
14-02-16_12:16:14,-0.5315128,1.1360487,8.257602,0.2650458,0.07086033,-0.77721345,24.358175,8.614828,12.171747,48.0
14-02-16_12:16:14,-0.5315128,1.1360487,8.257602,0.2650458,0.07086033,-0.77721345,24.358175,8.614828,12.171747,44.0
14-02-16_12:16:14,-0.5315128,1.1360487,8.257602,0.2650458,0.07086033,-0.77721345,25.110239,7.9540634,11.8902,44.0
14-02-16_12:16:14,-0.5315128,1.1360487,8.257602,0.2650458,0.07086033,-0.77721345,25.110239,7.9540634,11.8902,50.0
14-02-16_12:16:14,-0.5315128,1.1360487,8.257602,-0.26121163,-0.087820396,-0.4927623,25.110239,7.9540634,11.8902,50.0
14-02-16_12:16:14,-2.292448,2.5761611,12.537237,-0.26121163,-0.087820396,-0.4927623,25.110239,7.9540634,11.8902,50.0
14-02-16_12:16:14,-2.292448,2.5761611,12.537237,-0.26121163,-0.087820396,-0.4927623,25.110239,7.9540634,11.8902,48.0
14-02-16_12:16:14,-2.292448,2.5761611,12.537237,-0.26121163,-0.087820396,-0.4927623,25.505032,7.0536404,11.538139,48.0
14-02-16_12:16:14,-2.292448,2.5761611,12.537237,-0.1962305,0.07836085,0.18794167,25.505032,7.0536404,11.538139,48.0
14-02-16_12:16:14,-1.8866309,0.9540894,10.579977,-0.1962305,0.07836085,0.18794167,25.505032,7.0536404,11.538139,48.0
14-02-16_12:16:14,-1.8866309,0.9540894,10.579977,-0.1962305,0.07836085,0.18794167,25.505032,7.0536404,11.538139,50.0
14-02-16_12:16:14,-1.8866309,0.9540894,10.579977,-0.1962305,0.07836085,0.18794167,25.601553,6.324229,11.296328,50.0
14-02-16_12:16:14,-1.8866309,0.9540894,10.579977,-0.1962305,0.07836085,0.18794167,25.601553,6.324229,11.296328,54.0
14-02-16_12:16:14,-1.8866309,0.9540894,10.579977,0.47595134,-0.10486463,0.21563855,25.601553,6.324229,11.296328,54.0
14-02-16_12:16:14,-0.2681506,2.0135236,6.9958572,0.47595134,-0.10486463,0.21563855,25.601553,6.324229,11.296328,54.0
14-02-16_12:16:14,-0.2681506,2.0135236,6.9958572,0.47595134,-0.10486463,0.21563855,25.601553,6.324229,11.296328,56.0
14-02-16_12:16:15,-0.2681506,2.0135236,6.9958572,0.47595134,-0.10486463,0.21563855,25.73446,6.1013103,11.245764,56.0
14-02-16_12:16:15,-0.2681506,2.0135236,6.9958572,0.47595134,-0.10486463,0.21563855,25.73446,6.1013103,11.245764,54.0
14-02-16_12:16:15,-0.2681506,2.0135236,6.9958572,-0.2590976,-0.040904824,-0.35957867,25.73446,6.1013103,11.245764,54.0
14-02-16_12:16:15,-0.90740246,2.349909,12.418724,-0.2590976,-0.040904824,-0.35957867,25.73446,6.1013103,11.245764,54.0
14-02-16_12:16:15,-0.90740246,2.349909,12.418724,-0.2590976,-0.040904824,-0.35957867,25.73446,6.1013103,11.245764,58.0
14-02-16_12:16:15,-0.90740246,2.349909,12.418724,-0.2590976,-0.040904824,-0.35957867,26.039888,6.024205,11.238813,58.0
14-02-16_12:16:15,-0.90740246,2.349909,12.418724,-0.2590976,-0.040904824,-0.35957867,26.039888,6.024205,11.238813,62.0
14-02-16_12:16:15,-0.90740246,2.349909,12.418724,-0.17068066,0.025141573,-1.1276343,26.039888,6.024205,11.238813,62.0
14-02-16_12:16:15,-0.8451532,1.0319009,11.172543,-0.17068066,0.025141573,-1.1276343,26.039888,6.024205,11.238813,62.0
14-02-16_12:16:15,-0.8451532,1.0319009,11.172543,-0.17068066,0.025141573,-1.1276343,26.039888,6.024205,11.238813,68.0
14-02-16_12:16:15,-0.8451532,1.0319009,11.172543,-0.17068066,0.025141573,-1.1276343,26.202291,6.08149,11.287059,68.0
