TimeStamp,gyroRotateX,gyroRotateY,gyroRotateZ
08-03-16_16:35:22:225,0.0053882883,0.006353355,0.011017844
08-03-16_16:35:22:384,-0.0053591714,0.02125805,0.04787527
08-03-16_16:35:22:541,0.0152456155,0.021072475,0.20944762
08-03-16_16:35:22:699,-0.013718145,-0.010229138,0.28625724
08-03-16_16:35:22:856,-0.058086254,0.047189582,0.3021188
08-03-16_16:35:23:015,-0.011819518,-0.016965432,0.032483578
08-03-16_16:35:23:172,0.0067910375,0.0013403363,-0.017156305
08-03-16_16:35:23:331,-0.0062728235,-0.003538516,-0.015601639
08-03-16_16:35:23:491,0.0028595177,-0.0073275147,5.361596E-4
08-03-16_16:35:23:648,-0.0068357107,0.002573444,-0.017129485
08-03-16_16:35:23:806,0.0111787645,0.0021714144,0.0045036743
08-03-16_16:35:23:964,-0.0022340163,0.0010723278,0.00277018
08-03-16_16:35:24:123,-0.0018497581,-0.0033778192,-0.0047450317
08-03-16_16:35:24:281,-0.0017872162,2.6808243E-4,1.7872162E-4
08-03-16_16:35:24:439,-0.005468786,-0.008685718,-0.001769313
08-03-16_16:35:24:598,-8.9360174E-4,-0.0025020847,-0.006255212
08-03-16_16:35:24:756,4.8254602E-4,-0.0056297034,9.6509204E-4
08-03-16_16:35:24:914,-0.003458242,-0.0044233324,-0.0029756965
08-03-16_16:35:25:073,2.6808132E-4,0.004289301,-0.0030382553
08-03-16_16:35:25:231,-0.002895269,-0.006031811,-0.0014476345
08-03-16_16:35:25:389,-0.001072326,-0.0030382571,-0.0036637806
08-03-16_16:35:25:546,-0.001608487,-0.005388431,-1.608487E-4
08-03-16_16:35:25:707,0.0014296203,-0.0114369625,-0.02260587
08-03-16_16:35:25:866,0.0024931424,0.0022518705,-0.0070773074
08-03-16_16:35:26:020,-0.022356108,-0.0036187943,-0.004262136
08-03-16_16:35:26:183,0.0010721819,-0.025196275,-0.013938365
08-03-16_16:35:26:337,-0.007800736,-0.0012867195,0.017209873
08-03-16_16:35:26:496,-0.014743727,0.0041103726,0.009829152
08-03-16_16:35:26:654,0.0077194786,0.030636681,-0.003377272
08-03-16_16:35:26:815,-0.05171582,0.009289197,0.005805748
