TimeStamp,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyroscope_X,Gyroscope_Y,Gyroscope_Z,Magnetometer_X,Magnetometer_Y,Magnetometer_Z,Light,Measured Displacement,Total Rotation,Compass Bearing,Compass Direction,Compass Cardinal Direction,Ground Truth Cardinal Direction
06-03-16_21:28:17:615,0.75203615,2.411785,9.558523,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.541,N,N,
06-03-16_21:28:17:658,0.5005591,2.4069948,9.570498,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.633,N,N,
06-03-16_21:28:17:662,0.4143384,2.4501052,8.8879175,0.024501082,0.06178534,-0.07669904,8.3125,33.4375,-2.125,3.0,0.0,0.0,345.589,N,N,
06-03-16_21:28:17:738,0.4143384,2.4501052,8.8879175,0.024501082,0.06178534,-0.07669904,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.862,N,N,
06-03-16_21:28:17:739,0.4143384,2.4501052,8.8879175,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.862,N,N,
06-03-16_21:28:17:741,1.0514137,2.5027955,8.636441,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.891,N,N,
06-03-16_21:28:17:742,0.8669971,2.562671,9.515413,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.932,N,N,
06-03-16_21:28:17:815,0.8669971,2.562671,9.515413,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,344.932,N,N,
06-03-16_21:28:17:819,0.22513184,2.3902297,10.111773,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,345.000,N,N,
06-03-16_21:28:17:822,0.6730005,2.4045997,9.874666,-0.10972224,0.34940675,-0.05752428,8.6875,33.4375,0.5625,3.0,0.0,0.0,345.007,N,N,
06-03-16_21:28:17:896,0.6730005,2.4045997,9.874666,-0.10972224,0.34940675,-0.05752428,10.8125,33.0625,0.125,3.0,0.0,0.0,341.344,N,N,
06-03-16_21:28:17:898,0.6730005,2.4045997,9.874666,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,341.344,N,N,
06-03-16_21:28:17:899,0.7209009,2.7638526,8.471185,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,340.922,N,N,
06-03-16_21:28:17:901,0.68018556,2.3998096,7.790999,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,341.025,N,N,
06-03-16_21:28:17:975,0.95561284,2.2824538,9.378897,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,341.357,N,N,
06-03-16_21:28:17:976,1.5016773,2.5938063,11.817027,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,3.0,0.0,0.0,341.489,N,N,
06-03-16_21:28:18:015,1.5016773,2.5938063,11.817027,-0.008522116,-0.0777643,0.094808534,10.8125,33.0625,0.125,2.0,0.0,0.0,341.489,N,N,
06-03-16_21:28:18:054,1.5016773,2.5938063,11.817027,-0.008522116,-0.0777643,0.094808534,9.0625,33.0625,-1.0,2.0,0.0,0.0,344.227,N,N,
06-03-16_21:28:18:055,1.5016773,2.5938063,11.817027,0.4250405,0.46232477,0.080960095,9.0625,33.0625,-1.0,2.0,0.0,0.0,344.227,N,N,
06-03-16_21:28:18:056,0.043110352,2.7830129,9.017249,0.4250405,0.46232477,0.080960095,9.0625,33.0625,-1.0,2.0,0.0,0.0,344.121,N,N,
06-03-16_21:28:18:058,-0.0071850587,2.9650342,8.080796,0.4250405,0.46232477,0.080960095,9.0625,33.0625,-1.0,2.0,0.0,0.0,343.896,N,N,
06-03-16_21:28:18:133,0.1820215,3.056045,9.81,0.4250405,0.46232477,0.080960095,9.0625,33.0625,-1.0,2.0,0.0,0.0,344.072,N,N,
06-03-16_21:28:18:135,0.366438,3.0105398,9.307046,0.4250405,0.46232477,0.080960095,9.0625,33.0625,-1.0,2.0,0.0,0.0,343.971,N,N,
06-03-16_21:28:18:215,0.366438,3.0105398,9.307046,0.4250405,0.46232477,0.080960095,14.125,30.1875,0.1875,2.0,0.0,0.0,333.663,NW,N,
06-03-16_21:28:18:217,0.366438,3.0105398,9.307046,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,2.0,0.0,0.0,333.663,NW,N,
06-03-16_21:28:18:219,-0.07664063,2.9961696,8.952583,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,2.0,0.0,0.0,333.719,NW,N,
06-03-16_21:28:18:220,-0.011975098,2.802173,9.429193,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,2.0,0.0,0.0,333.943,NW,N,
06-03-16_21:28:18:222,-0.011975098,2.802173,9.429193,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,3.0,0.0,0.0,333.943,NW,N,
06-03-16_21:28:18:292,-0.47900394,3.1398706,9.68067,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,3.0,0.0,0.0,333.946,NW,N,
06-03-16_21:28:18:294,-1.1879297,3.8751419,8.952583,0.2790993,0.12463594,-0.21944448,14.125,30.1875,0.1875,3.0,0.0,0.0,333.716,NW,N,
06-03-16_21:28:18:370,-1.1879297,3.8751419,8.952583,0.2790993,0.12463594,-0.21944448,15.5625,28.75,0.9375,3.0,0.0,0.0,329.932,NW,N,
06-03-16_21:28:18:372,-1.1879297,3.8751419,8.952583,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,329.932,NW,N,
06-03-16_21:28:18:374,-0.49097902,4.5744877,8.289163,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,328.229,NW,N,
06-03-16_21:28:18:376,0.19639161,4.0763235,8.399334,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,328.445,NW,N,
06-03-16_21:28:18:415,0.19639161,4.0763235,8.399334,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,328.445,NW,N,
06-03-16_21:28:18:449,0.5484595,3.9637575,8.655601,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,328.603,NW,N,
06-03-16_21:28:18:451,0.26345217,4.138594,8.667576,0.15659387,-0.15339808,0.20453078,15.5625,28.75,0.9375,3.0,0.0,0.0,328.502,NW,N,
06-03-16_21:28:18:529,0.26345217,4.138594,8.667576,0.15659387,-0.15339808,0.20453078,15.9375,23.6875,2.0625,3.0,0.0,0.0,321.961,NW,N,
06-03-16_21:28:18:530,0.26345217,4.138594,8.667576,-0.07669904,0.09267801,-0.10652645,15.9375,23.6875,2.0625,3.0,0.0,0.0,321.961,NW,N,
06-03-16_21:28:18:532,-0.20357667,4.1146436,8.5502205,-0.07669904,0.09267801,-0.10652645,15.9375,23.6875,2.0625,3.0,0.0,0.0,322.217,NW,N,
06-03-16_21:28:18:533,-0.60594,3.899092,8.717872,-0.07669904,0.09267801,-0.10652645,15.9375,23.6875,2.0625,3.0,0.0,0.0,322.942,NW,N,
06-03-16_21:28:18:607,-0.30177248,3.9302273,8.921448,-0.07669904,0.09267801,-0.10652645,15.9375,23.6875,2.0625,3.0,0.0,0.0,322.786,NW,N,
06-03-16_21:28:18:609,-0.16046631,4.0427933,8.825647,-0.07669904,0.09267801,-0.10652645,15.9375,23.6875,2.0625,3.0,0.0,0.0,322.477,NW,N,
06-03-16_21:28:18:686,-0.16046631,4.0427933,8.825647,-0.07669904,0.09267801,-0.10652645,16.25,23.6875,2.4375,3.0,0.0,0.0,321.721,NW,N,
06-03-16_21:28:18:688,-0.16046631,4.0427933,8.825647,-0.05006743,0.07989483,0.0127831735,16.25,23.6875,2.4375,3.0,0.0,0.0,321.721,NW,N,
06-03-16_21:28:18:690,-0.19160157,3.9637575,8.751402,-0.05006743,0.07989483,0.0127831735,16.25,23.6875,2.4375,3.0,0.0,0.0,321.809,NW,N,
06-03-16_21:28:18:692,-0.22752686,3.906277,8.921448,-0.05006743,0.07989483,0.0127831735,16.25,23.6875,2.4375,3.0,0.0,0.0,322.023,NW,N,
06-03-16_21:28:18:765,-0.29937744,3.8847218,8.911868,-0.05006743,0.07989483,0.0127831735,16.25,23.6875,2.4375,3.0,0.0,0.0,322.092,NW,N,
06-03-16_21:28:18:767,-0.26584718,3.9637575,8.667576,-0.05006743,0.07989483,0.0127831735,16.25,23.6875,2.4375,3.0,0.0,0.0,321.803,NW,N,
06-03-16_21:28:18:845,-0.26584718,3.9637575,8.667576,-0.05006743,0.07989483,0.0127831735,17.375,24.0,2.8125,3.0,0.0,0.0,320.109,NW,N,N
06-03-16_21:28:18:846,-0.26584718,3.9637575,8.667576,-0.06498113,0.06391586,-0.01917476,17.375,24.0,2.8125,3.0,0.0,0.0,320.109,NW,N,N
06-03-16_21:28:18:848,0.0,4.0020776,8.911868,-0.06498113,0.06391586,-0.01917476,17.375,24.0,2.8125,3.0,0.0,0.0,320.047,NW,N,N
06-03-16_21:28:18:849,-0.34009278,3.9254372,8.856783,-0.06498113,0.06391586,-0.01917476,17.375,24.0,2.8125,3.0,0.0,0.0,320.344,NW,N,N
06-03-16_21:28:18:923,-0.2921924,3.894302,8.981323,-0.06498113,0.06391586,-0.01917476,17.375,24.0,2.8125,3.0,0.0,0.0,320.434,NW,N,N
06-03-16_21:28:18:924,-0.43110353,3.8224514,8.856783,-0.06498113,0.06391586,-0.01917476,17.375,24.0,2.8125,3.0,0.0,0.0,320.557,NW,N,N
06-03-16_21:28:19:003,-0.43110353,3.8224514,8.856783,-0.06498113,0.06391586,-0.01917476,17.6875,25.5,2.0625,3.0,0.0,0.0,322.245,NW,N,N
06-03-16_21:28:19:005,-0.43110353,3.8224514,8.856783,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,3.0,0.0,0.0,322.245,NW,N,N
06-03-16_21:28:19:007,-0.51971924,3.791316,8.775352,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,3.0,0.0,0.0,322.313,NW,N,N
06-03-16_21:28:19:008,-0.25866213,3.8320315,8.969349,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,3.0,0.0,0.0,322.166,NW,N,N
06-03-16_21:28:19:015,-0.25866213,3.8320315,8.969349,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,2.0,0.0,0.0,322.166,NW,N,N
06-03-16_21:28:19:081,-0.5628296,3.8727467,8.5598,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,2.0,0.0,0.0,322.132,NW,N,N
06-03-16_21:28:19:083,-0.3161426,3.8440065,8.916658,-0.023435818,0.056459017,0.02130529,17.6875,25.5,2.0625,2.0,0.0,0.0,322.162,NW,N,N
06-03-16_21:28:19:161,-0.3161426,3.8440065,8.916658,-0.023435818,0.056459017,0.02130529,18.4375,24.0,2.8125,2.0,0.0,0.0,318.835,NW,N,W
06-03-16_21:28:19:163,-0.3161426,3.8440065,8.916658,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,2.0,0.0,0.0,318.835,NW,N,W
06-03-16_21:28:19:164,-0.2706372,3.8799317,9.24717,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,2.0,0.0,0.0,318.944,NW,N,W
06-03-16_21:28:19:165,-0.87178713,3.9493873,8.811277,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,2.0,0.0,0.0,319.122,NW,N,W
06-03-16_21:28:19:215,-0.87178713,3.9493873,8.811277,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,3.0,0.0,0.0,319.122,NW,N,W
06-03-16_21:28:19:240,0.043110352,3.63564,9.096285,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,3.0,0.0,0.0,319.021,NW,N,W
06-03-16_21:28:19:242,-0.014370117,3.6116896,8.854387,-0.03195793,0.09161274,-0.020240024,18.4375,24.0,2.8125,3.0,0.0,0.0,318.942,NW,N,W
06-03-16_21:28:19:319,-0.014370117,3.6116896,8.854387,-0.03195793,0.09161274,-0.020240024,18.4375,25.125,0.9375,3.0,0.0,0.0,321.185,NW,N,W
06-03-16_21:28:19:322,-0.014370117,3.6116896,8.854387,-0.12037488,-0.084155895,0.01917476,18.4375,25.125,0.9375,3.0,0.0,0.0,321.185,NW,N,W
06-03-16_21:28:19:323,-0.6442603,3.7290456,8.52627,-0.12037488,-0.084155895,0.01917476,18.4375,25.125,0.9375,3.0,0.0,0.0,321.512,NW,N,W
06-03-16_21:28:19:325,-0.364043,3.5781593,8.638836,-0.12037488,-0.084155895,0.01917476,18.4375,25.125,0.9375,3.0,0.0,0.0,321.435,NW,N,W
06-03-16_21:28:19:398,-0.16046631,3.772156,9.3453665,-0.12037488,-0.084155895,0.01917476,18.4375,25.125,0.9375,3.0,0.0,0.0,321.344,NW,N,E
06-03-16_21:28:19:400,-0.09580079,3.6332448,8.883128,-0.12037488,-0.084155895,0.01917476,18.4375,25.125,0.9375,3.0,0.0,0.0,321.240,NW,N,E
06-03-16_21:28:19:477,-0.09580079,3.6332448,8.883128,-0.12037488,-0.084155895,0.01917476,17.6875,25.8125,2.0625,3.0,0.0,0.0,322.625,NW,N,E
06-03-16_21:28:19:479,-0.09580079,3.6332448,8.883128,0.0031957934,-0.058589544,-0.034088463,17.6875,25.8125,2.0625,3.0,0.0,0.0,322.625,NW,N,E
06-03-16_21:28:19:481,-0.3161426,3.293152,9.527389,0.0031957934,-0.058589544,-0.034088463,17.6875,25.8125,2.0625,3.0,0.0,0.0,323.424,NW,N,E
06-03-16_21:28:19:482,-0.50534916,3.288362,9.730965,0.0031957934,-0.058589544,-0.034088463,17.6875,25.8125,2.0625,3.0,0.0,0.0,323.587,NW,N,E
06-03-16_21:28:19:557,-0.68018556,3.2380664,9.010064,0.0031957934,-0.058589544,-0.034088463,17.6875,25.8125,2.0625,3.0,0.0,0.0,323.511,NW,N,E
06-03-16_21:28:19:559,-0.45026368,3.5494192,8.528665,0.0031957934,-0.058589544,-0.034088463,17.6875,25.8125,2.0625,3.0,0.0,0.0,322.788,NW,N,E
06-03-16_21:28:19:636,-0.45026368,3.5494192,8.528665,0.0031957934,-0.058589544,-0.034088463,16.625,27.625,1.3125,3.0,0.0,0.0,326.662,NW,N,E
06-03-16_21:28:19:638,-0.45026368,3.5494192,8.528665,0.02876214,-0.31957933,-0.0053263223,16.625,27.625,1.3125,3.0,0.0,0.0,326.662,NW,N,E
06-03-16_21:28:19:641,0.14130616,3.9134622,9.050779,0.02876214,-0.31957933,-0.0053263223,16.625,27.625,1.3125,3.0,0.0,0.0,326.128,NW,N,E
06-03-16_21:28:19:643,0.011975098,3.532654,8.995694,0.02876214,-0.31957933,-0.0053263223,16.625,27.625,1.3125,3.0,0.0,0.0,326.616,NW,N,E
06-03-16_21:28:19:714,0.1101709,3.7122805,9.096285,0.02876214,-0.31957933,-0.0053263223,16.625,27.625,1.3125,3.0,0.0,0.0,326.409,NW,N,E
06-03-16_21:28:19:716,0.55324954,3.7985013,8.880733,0.02876214,-0.31957933,-0.0053263223,16.625,27.625,1.3125,3.0,0.0,0.0,326.008,NW,N,E
06-03-16_21:28:19:793,0.55324954,3.7985013,8.880733,0.02876214,-0.31957933,-0.0053263223,15.1875,24.75,1.6875,3.0,0.0,0.0,325.289,NW,N,E
06-03-16_21:28:19:795,0.55324954,3.7985013,8.880733,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,0.0,0.0,325.289,NW,N,E
06-03-16_21:28:19:797,0.7759864,3.903882,8.674761,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,0.0,0.0,324.943,NW,N,E
06-03-16_21:28:19:798,0.8262818,4.0020776,8.068821,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,0.0,0.0,324.276,NW,N,E
06-03-16_21:28:19:814,0.8262818,4.0020776,8.068821,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,0.0,0.0,324.276,NW,N,E
06-03-16_21:28:19:872,0.94603276,3.9206471,8.871153,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,1.0,0.0,325.029,NW,N,E
06-03-16_21:28:19:875,0.9436377,4.018843,9.604029,0.19813919,-0.257794,0.054328486,15.1875,24.75,1.6875,3.0,1.0,0.0,325.351,NW,N,E
06-03-16_21:28:19:952,0.9436377,4.018843,9.604029,0.19813919,-0.257794,0.054328486,14.125,24.375,0.9375,3.0,1.0,0.0,327.130,NW,N,E
06-03-16_21:28:19:954,0.9436377,4.018843,9.604029,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,327.130,NW,N,E
06-03-16_21:28:19:956,0.5676197,3.887117,8.899893,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,326.996,NW,N,E
06-03-16_21:28:19:960,0.53169435,3.8296363,8.962164,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,327.118,NW,N,E
06-03-16_21:28:20:015,0.53169435,3.8296363,8.962164,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,327.118,NW,N,E
06-03-16_21:28:20:031,0.05269043,3.6260598,8.8951025,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,327.528,NW,N,E
06-03-16_21:28:20:032,0.102985844,3.6164796,8.801697,0.033023197,0.18216023,-0.12783173,14.125,24.375,0.9375,3.0,1.0,0.0,327.470,NW,N,E
06-03-16_21:28:20:111,0.102985844,3.6164796,8.801697,0.033023197,0.18216023,-0.12783173,14.8125,23.6875,0.5,3.0,1.0,0.0,325.639,NW,N,E
06-03-16_21:28:20:113,0.102985844,3.6164796,8.801697,0.17257284,-0.17789917,0.05219796,14.8125,23.6875,0.5,3.0,1.0,0.0,325.639,NW,N,E
06-03-16_21:28:20:115,0.10538086,3.8487966,9.002879,0.17257284,-0.17789917,0.05219796,14.8125,23.6875,0.5,3.0,1.0,0.0,325.468,NW,N,E
06-03-16_21:28:20:117,0.38080812,4.0691385,8.681946,0.17257284,-0.17789917,0.05219796,14.8125,23.6875,0.5,3.0,1.0,0.0,324.824,NW,N,E
06-03-16_21:28:20:189,0.8430469,4.0667434,8.813672,0.17257284,-0.17789917,0.05219796,14.8125,23.6875,0.5,3.0,1.0,0.0,324.662,NW,N,E
06-03-16_21:28:20:191,0.73527104,4.064348,8.722662,0.17257284,-0.17789917,0.05219796,14.8125,23.6875,0.5,3.0,1.0,0.0,324.653,NW,N,E
06-03-16_21:28:20:268,0.73527104,4.064348,8.722662,0.17257284,-0.17789917,0.05219796,13.375,23.3125,1.6875,3.0,1.0,0.0,326.555,NW,N,E
06-03-16_21:28:20:270,0.73527104,4.064348,8.722662,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,1.0,0.0,326.555,NW,N,E
06-03-16_21:28:20:272,0.5005591,4.1074586,8.722662,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,1.0,0.0,326.535,NW,N,E
06-03-16_21:28:20:274,0.43349856,4.045188,9.017249,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,1.0,0.0,326.840,NW,N,E
06-03-16_21:28:20:347,1.0777588,4.394861,8.461604,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,1.0,0.0,325.763,NW,N,E
06-03-16_21:28:20:348,1.4370118,4.423601,7.9227247,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,1.0,0.0,325.173,NW,N,E
06-03-16_21:28:20:416,1.4370118,4.423601,7.9227247,0.11930962,-0.294013,0.040480047,13.375,23.3125,1.6875,3.0,2.0,0.0,325.173,NW,N,E
06-03-16_21:28:20:428,1.4370118,4.423601,7.9227247,0.11930962,-0.294013,0.040480047,11.1875,21.875,3.1875,3.0,2.0,0.0,327.992,NW,N,E
06-03-16_21:28:20:430,1.4370118,4.423601,7.9227247,0.08628642,0.023435818,0.017044231,11.1875,21.875,3.1875,3.0,2.0,0.0,327.992,NW,N,E
06-03-16_21:28:20:432,1.0274634,4.3014555,9.342972,0.08628642,0.023435818,0.017044231,11.1875,21.875,3.1875,3.0,2.0,0.0,329.191,NW,N,E
06-03-16_21:28:20:434,0.9987232,4.387676,8.464,0.08628642,0.023435818,0.017044231,11.1875,21.875,3.1875,3.0,2.0,0.0,328.323,NW,N,E
06-03-16_21:28:20:506,0.6514453,4.2176294,8.51669,0.08628642,0.023435818,0.017044231,11.1875,21.875,3.1875,3.0,2.0,0.0,328.533,NW,N,E
06-03-16_21:28:20:511,0.5939649,4.1553593,8.720266,0.08628642,0.023435818,0.017044231,11.1875,21.875,3.1875,3.0,2.0,0.0,328.788,NW,N,E
06-03-16_21:28:20:585,0.5939649,4.1553593,8.720266,0.08628642,0.023435818,0.017044231,11.1875,21.125,2.8125,3.0,2.0,0.0,327.987,NW,N,E
06-03-16_21:28:20:586,0.5939649,4.1553593,8.720266,-0.09054748,0.09267801,0.041545313,11.1875,21.125,2.8125,3.0,2.0,0.0,327.987,NW,N,E
06-03-16_21:28:20:589,1.1639795,4.3014555,8.258028,-0.09054748,0.09267801,0.041545313,11.1875,21.125,2.8125,3.0,2.0,0.0,327.515,NW,N,E
06-03-16_21:28:20:594,1.1639795,4.3278003,8.674761,-0.09054748,0.09267801,0.041545313,11.1875,21.125,2.8125,3.0,2.0,0.0,327.842,NW,N,E
06-03-16_21:28:20:664,0.96040285,4.248765,9.017249,-0.09054748,0.09267801,0.041545313,11.1875,21.125,2.8125,3.0,2.0,0.0,328.168,NW,N,E
06-03-16_21:28:20:665,0.6011499,4.3134303,8.495134,-0.09054748,0.09267801,0.041545313,11.1875,21.125,2.8125,3.0,2.0,0.0,327.524,NW,N,E
06-03-16_21:28:20:743,0.6011499,4.3134303,8.495134,-0.09054748,0.09267801,0.041545313,12.3125,21.125,3.25,3.0,2.0,0.0,324.646,NW,N,E
