05-03-16_00:51:34:058,0,0,0,0,0,0,0,0,0,0,0,0,null,N,N
05-03-16_00:51:34:123,-0.39278322,1.2358302,10.341695,0,0,0,0,0,0,0,0,0,null,N,N
05-03-16_00:51:34:126,-0.7376661,1.8058448,9.096285,0,0,0,0,0,0,0,0,0,null,N,N
05-03-16_00:51:34:160,-0.7376661,1.8058448,9.096285,0,0,0,-17.25,13.1875,-3.0625,0,0,0,52.758,NE,N
05-03-16_00:51:34:162,-0.7376661,1.8058448,9.096285,-0.2034655,0.24820662,0.78083885,-17.25,13.1875,-3.0625,0,0,0,52.758,NE,N
05-03-16_00:51:34:163,-0.7496411,2.1387525,9.242381,-0.2034655,0.24820662,0.78083885,-17.25,13.1875,-3.0625,0,0,0,52.833,NE,N
05-03-16_00:51:34:240,-0.18441652,2.3543043,8.772957,-0.2034655,0.24820662,0.78083885,-17.25,13.1875,-3.0625,0,0,0,52.181,NE,N
05-03-16_00:51:34:242,0.11496094,1.9351759,9.980047,-0.2034655,0.24820662,0.78083885,-17.25,13.1875,-3.0625,0,0,0,51.756,NE,N
05-03-16_00:51:34:327,0.11496094,1.9351759,9.980047,-0.2034655,0.24820662,0.78083885,-13.25,15.375,-3.875,0,0,0,39.779,NE,N
05-03-16_00:51:34:330,0.11496094,1.9351759,9.980047,-0.11611383,0.10333065,0.294013,-13.25,15.375,-3.875,0,0,0,39.779,NE,N
05-03-16_00:51:34:331,-0.059875492,1.5184424,11.704461,-0.11611383,0.10333065,0.294013,-13.25,15.375,-3.875,0,0,0,40.138,NE,N
05-03-16_00:51:34:334,-0.23471193,1.9878663,10.542876,-0.11611383,0.10333065,0.294013,-13.25,15.375,-3.875,0,0,0,40.21,NE,N
05-03-16_00:51:34:401,-0.52690434,2.6129665,8.361013,-0.11611383,0.10333065,0.294013,-13.25,15.375,-3.875,0,0,0,40.839,NE,N
05-03-16_00:51:34:402,-0.5604346,2.6441016,8.657996,-0.11611383,0.10333065,0.294013,-13.25,15.375,-3.875,0,0,0,40.842,NE,N
