06-03-16_20:59:14:515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:591,-0.4047583,4.3541455,9.424402,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:594,-0.98195803,3.9757326,9.754915,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:668,-0.7807764,4.1170387,7.7862086,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:671,0.1101709,4.1864944,7.927515,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:676,0.1101709,4.1864944,7.927515,-0.11824436,0.39521313,0.18002969,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:678,-0.011975098,3.6500099,9.1849,-0.11824436,0.39521313,0.18002969,0.0,0.0,0.0,2.0,0.0,0.0,null,,,
06-03-16_20:59:14:707,-0.011975098,3.6500099,9.1849,-0.11824436,0.39521313,0.18002969,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_20:59:14:746,-0.100590825,4.26074,8.308323,-0.11824436,0.39521313,0.18002969,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_20:59:14:751,0.45505372,3.68354,8.626861,-0.11824436,0.39521313,0.18002969,0.0,0.0,0.0,3.0,0.0,0.0,null,,,
06-03-16_20:59:14:827,0.45505372,3.68354,8.626861,-0.11824436,0.39521313,0.18002969,-6.125,32.8125,14.8125,3.0,0.0,0.0,15.717,N,N,
06-03-16_20:59:14:831,0.45505372,3.68354,8.626861,-0.32597092,0.32810146,0.29188246,-6.125,32.8125,14.8125,3.0,0.0,0.0,15.717,N,N,
06-03-16_20:59:14:835,0.16765137,4.0667434,9.793235,-0.32597092,0.32810146,0.29188246,-6.125,32.8125,14.8125,3.0,0.0,0.0,14.497,N,N,
